experiment,K,C,scenario,routing_mode,num_routes,policy,n_drones,mean_h1,mean_h2,mean_risk,frames_per_drone,channel_util
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,aoi-normalized,6,59.1,287.9633333333333,1532.2896666666666,9,0.8042151162790697
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,max-weight-drift,6,62.315,277.145,1549.1451,9.333333333333334,0.8037808748447633
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,max-weight-sw,6,3.12,504.61833333333334,340.9191333333333,5.5,0.8038277511961722
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,mw-pe,6,3.3433333333333333,484.9383333333333,349.08231666666666,5.333333333333333,0.7974857142857142
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,pf-classic,6,68.57666666666667,319.175,1557.3396500000001,9.333333333333334,0.8039681430767082
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,pf-classic-sw,6,2.9316666666666666,563.4783333333334,383.36361666666664,4.666666666666667,0.8037940379403794
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,round-robin,6,133.67833333333334,306.485,5046.040466666666,9.333333333333334,0.804160394142603
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,round-robin-sw,6,3.2,566.3716666666667,383.83903333333336,4.666666666666667,0.8056460369163952
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,aoi-normalized,14,63.02285714285714,446.94142857142856,1690.4725642857143,4.857142857142857,0.8025665175417942
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,max-weight-drift,14,63.85,429.0657142857143,1697.6896285714286,4.928571428571429,0.8032068289306725
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,max-weight-sw,14,4.166428571428572,968.3657142857144,510.4287357142857,1.7857142857142858,0.7941816204458945
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,mw-pe,14,5.837857142857143,824.4307142857143,479.1264357142857,2.5,0.7999612327970537
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,pf-classic,14,168.58142857142857,531.0764285714286,9307.616185714285,4.928571428571429,0.8041495668034656
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,pf-classic-sw,14,5.1692857142857145,919.6071428571429,501.73415,2.2857142857142856,0.8059534467323187
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,round-robin,14,251.45,519.0364285714286,11900.437221428572,4.928571428571429,0.8030439684329199
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,round-robin-sw,14,5.892857142857143,918.5385714285715,503.0578428571429,2.2142857142857144,0.8057232282584396
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,aoi-normalized,30,64.88266666666667,666.2733333333333,1791.41592,2.3666666666666667,0.8050391937290033
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,max-weight-drift,30,65.489,675.8806666666667,1789.4238633333334,2.433333333333333,0.8030534351145038
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,max-weight-sw,30,5.248333333333333,1052.122,540.8085133333333,0.13333333333333333,0.7928331466965286
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,mw-pe,30,10.071333333333333,1029.009,565.8862533333333,1.1666666666666667,0.8096530335336305
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,pf-classic,30,474.8326666666667,841.0466666666666,27544.37336,2.5,0.805207026348808
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,pf-classic-sw,30,9.708666666666666,1042.4243333333334,563.45628,1.0666666666666667,0.8044727123512515
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,round-robin,30,497.9646666666667,884.3616666666667,24952.158036666668,2.5,0.8048250155311659
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,round-robin-sw,30,11.376666666666667,1042.394,589.07842,0.9666666666666667,0.8038611624563565
capacity_15min_sw_nsw_assimetrico,1,16,2r_static,static,2,aoi-normalized,62,59.88467741935484,1026.6962903225806,1871.8419016129033,0.3709677419354839,0.8037759597230962
